species,rare,Naturalised,naturalized.hybrids,vetted,invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,monoecious,wind,animal,asexual,herbaceous,variable,woody,woodiness,fleshy.fruit,ln.shybrids,ln.ghybrids
31,0,4,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
29,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,1,0,0
29,0,1,0,0,0,2,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,1,NA,1.098612289,0
29,0,3,0,1,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0
28,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0.5,0.693147181,0
28,0,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,1,0,1,0,0,1,NA,0.693147181,0
27,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0
27,9,0,0,16,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0,0,0
27,1,1,0,2,0,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0,0,0
26,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,1,0,0,0
26,5,0,0,7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
26,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
25,6,2,0,19,0,0,0,1,1,1,1,4,0,1,1,0,0,0,1,0,0,1,0,0,0
24,6,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
24,1,0,0,4,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
24,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0.5,0,0
23,0,0,0,0,0,1,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,NA,0.693147181,0
23,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,0.5,0,0
22,0,5,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
22,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0
21,1,1,0,5,0,0,0,1,1,1,0,3,0,0,1,0,1,0,0,0,1,1,0,0,0
20,7,0,0,13,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,0,0
18,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
17,0,1,0,13,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,1,0.5,0,0
17,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
16,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
15,0,1,0,0,0,0,0,1,1,1,0,3,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
15,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
15,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,1,0,0
14,1,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,1,1,1,0,0
14,0,5,1,0,5,5,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1.791759469,0
14,0,1,0,1,1,2,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0,1.098612289,0
14,8,0,0,10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
13,0,3,0,0,2,0,1,0,1,1,0,2,1,0,0,0,1,1,0,0,1,1,0,0,0.693147181
12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0.5,1,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,1,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0
11,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,1,0,0
11,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0
10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
10,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
10,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
10,1,4,1,2,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0.693147181,0
10,1,1,0,8,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0
10,4,0,0,7,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,NA,0,0
9,1,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0
9,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,1,1,0.5,0,0
9,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,1,0,0,0
9,0,3,0,1,1,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,0,1,0.5,0,0
8,6,0,0,8,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0
8,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,0,0,1,NA,0,0
8,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
8,0,1,0,5,1,0,0,0,1,1,0,2,1,0,0,1,0,0,1,0,0,1,0.5,0,0
8,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0
7,1,0,0,6,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
7,8,0,0,11,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
7,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
