"836","Aegonychon","Aegonychon_purpurea-coeruleum","Boraginaceae","purpurea-coeruleum","Boraginaceae","","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"846","Aeonium","Aeonium_nobile","Crassulaceae","nobile","Crassulaceae","Saxifragales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","","","","","","","","",""
"908","Aethionema","Aethionema_arabicum","Brassicaceae","arabicum","Brassicaceae","Brassicales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
"913","Aextoxicon","Aextoxicon_punctatum","Aextoxicaceae","punctatum","Aextoxicaceae","Berberidopsidales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"918","Aframomum","Aframomum_angustifolium","Zingiberaceae","angustifolium","Zingiberaceae","Zingiberales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","Commelinidae","","","","","","","","","","","","","","","","",""
"922","Afrocalathea","Afrocalathea_rhizantha","Marantaceae","rhizantha","Marantaceae","Zingiberales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","Commelinidae","","","","","","","","","","","","","","","","",""
"934","Afrostyrax","Afrostyrax_lepidophyllus","Huaceae","lepidophyllus","Huaceae","Oxalidales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"946","Agalinis","Agalinis_gattingeri","Orobanchaceae","gattingeri","Orobanchaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"992","Agathelpis","Agathelpis_angustifolia","Scrophulariaceae","angustifolia","Scrophulariaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"1015","Agdestis","Agdestis_clematidea","Phytolaccaceae","clematidea","Phytolaccaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"1017","Agelanthus","Agelanthus_sansibarensis","Loranthaceae","sansibarensis","Loranthaceae","Santalales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
